id,pillar,platform_hint,title,angle,keywords,status,created
T001,ganhuo,xiaohongshu,一年级最易写错笔顺的30个字（附正确动图）,清单+对错对比，引导收藏，文末提工具,笔顺;一年级;易错字;幼小衔接,scheduled,2026-06-19
T002,ganhuo,xiaohongshu,幼小衔接必会的100个高频字打卡表（可截图）,可保存的表格图，超高收藏,高频字;识字表;幼小衔接;打卡,scheduled,2026-06-19
T003,ganhuo,xiaohongshu,拼音23个声母顺口溜，娃3天记住,口诀+图，韵律记忆,拼音;声母;顺口溜;启蒙,scheduled,2026-06-19
T004,ganhuo,xiaohongshu,6个单韵母+整体认读，幼儿园这样教不混,易混点讲清,拼音;韵母;整体认读,scheduled,2026-06-19
T005,ganhuo,xiaohongshu,"""火、车、里、出""——90%孩子笔顺都写反了",钩子式标题，逐字纠正,笔顺;易错字;写字,scheduled,2026-06-19
T006,ganhuo,wechat_mp,笔顺6大规则：先横后竖先撇后捺…一张图讲清,系统科普，适合搜一搜SEO,笔顺规则;写字;一年级,scheduled,2026-06-19
T007,ganhuo,xiaohongshu,"""我、你、他""怎么教？识字启蒙顺序表",识字顺序方法论,识字顺序;启蒙;高频字,scheduled,2026-06-19
T008,ganhuo,xiaohongshu,数字一到十的汉字笔顺，入学第一天就写对,小切口高需求,数字汉字;笔顺;学前,scheduled,2026-06-19
T009,ganhuo,wechat_mp,识字启蒙20个偏旁部首，效率翻倍,体系化长文,偏旁部首;识字;启蒙,idea,2026-06-19
T010,ganhuo,xiaohongshu,"""上下左右大小""方位字，孩子总搞混怎么办",痛点切入,方位字;识字;易混,idea,2026-06-19
T011,ganhuo,xiaohongshu,一年级语文第一单元必会字（笔顺+组词）,贴课本，精准,一年级语文;课本;笔顺,idea,2026-06-19
T012,ganhuo,xiaohongshu,幼小衔接识字启蒙书单+免费工具清单,书单+工具，自然带产品,书单;幼小衔接;免费工具,idea,2026-06-19
T013,daka,xiaohongshu,陪娃识字打卡第30天，变化太明显了,成长记录，前后对比,识字打卡;陪娃;坚持,scheduled,2026-06-19
T014,daka,xiaohongshu,不吼不叫，我们家这样坚持每天认5个字,情绪价值+方法,不吼不叫;育儿;识字,scheduled,2026-06-19
T015,daka,shipinhao,用积分换奖励，孩子主动要求识字打卡,机制种草，录屏演示,积分奖励;习惯养成;识字,scheduled,2026-06-19
T016,daka,xiaohongshu,幼小衔接焦虑？我们从每天3个字开始,共情焦虑家长,幼小衔接焦虑;识字;启蒙,scheduled,2026-06-19
T017,daka,xiaohongshu,暑假识字计划：60天认会300字的打卡表,可执行计划，季节性,暑假计划;识字;打卡表,idea,2026-06-19
T018,zhongcao,xiaohongshu,发现一个免费的笔顺打卡小程序，相见恨晚,工具种草主打,免费小程序;笔顺;识字打卡,scheduled,2026-06-19
T019,zhongcao,xiaohongshu,不用买App，笔顺动画+拼音+打卡全免费的小程序,对比付费App省钱,免费;笔顺动画;拼音;小程序,scheduled,2026-06-19
T020,zhongcao,shipinhao,识字打卡攒积分换奖励的小程序，幼小衔接妈妈必备,录屏走流程，挂小程序,幼小衔接;识字打卡;小程序,idea,2026-06-19
